"","CODE","LAT","LONG","POPULATION"
"1","A0A",47.505914,-53.1044021234568,46297
"2","A0B",47.5377683174603,-53.6329165238095,20985
"3","A0C",48.4112726216216,-53.7613184054054,12834
"4","A0E",47.4459930851064,-54.9299550212766,23384
"5","A0G",49.1816562179487,-54.3617198589744,36264
"6","A0H",48.2635369333333,-55.8353502666667,18499
"7","A0J",49.4689521666667,-55.7691117777778,8093
"8","A0K",50.5414990952381,-56.6070928190476,27835
"9","A0L",49.1251448235294,-57.8201246470588,7412
"10","A0M",47.7601,-58.2858895333333,6318
"11","A0N",48.170959969697,-58.5681562424242,14679
"12","A0P",54.3365643125,-60.2107011875,13021
"13","A0R",53.5614922,-66.3702346,2495
"14","A1A",47.5958863296703,-52.7103506673327,29505
"15","A1B",47.5696589103535,-52.7428694482323,17781
"16","A1C",47.5637956051282,-52.7154419323077,13213
"17","A1E",47.5397594817814,-52.7482443674089,28411
"18","A1G",47.5101033571429,-52.7569333681319,5430
"19","A1H",47.4959762261905,-52.8157229642857,3467
"20","A1K",47.6514683373494,-52.7230394939759,11295
"21","A1L",47.5371991831395,-52.876483434593,17755
"22","A1M",47.6011569224652,-52.8486162962227,7359
"23","A1N",47.5169107454765,-52.8090788648975,24298
"24","A1S",47.4546055259259,-52.7697820296296,6555
"25","A1V",48.9608164373259,-54.6133365181058,11065
"26","A1W",47.5215532468694,-52.9425729338104,11064
"27","A1X",47.49383481198,-53.0119925823627,13749
"28","A1Y",47.7358358275862,-53.2276547931034,5270
"29","A2A",48.9297704278215,-55.6330202834646,8965
"30","A2B",48.9362969135802,-55.6288620123457,4950
"31","A2H",48.9510094482759,-57.95386563711,25595
"32","A2N",48.5515908589744,-58.5880836648352,8813
"33","A2V",52.9394781220779,-66.9209500701299,7367
"34","A5A",48.155175171875,-53.987743678125,7974
"35","A8A",49.201873650463,-57.4315551527778,6539
"36","B0C",46.6689820666667,-60.4182125333333,2807
"37","B0E",46.0210975789474,-61.0970746140351,26573
"38","B0H",45.4479455454546,-61.6310793636364,10478
"39","B0J",44.6568084482759,-63.4922875344828,40014
"40","B0K",45.6102437352941,-62.9028797352941,36827
"41","B0L",45.756447625,-64.2274945,2547
"42","B0M",45.50378568,-63.97322868,17716
"43","B0N",45.054152375,-63.6434206,39909
"44","B0P",45.0304376666667,-64.6184414814815,40186
"45","B0R",44.4988912,-64.6481768,5895
"46","B0S",44.7264834761905,-65.2991747142857,17519
"47","B0T",44.0223738636364,-65.0382541363636,15322
"48","B0V",44.5020380909091,-65.9714473636364,5923
"49","B0W",43.8630858412698,-65.8590989523809,31530
"50","B1A",46.1946983364226,-59.9596086506024,16273
"51","B1B",46.1166075697674,-59.972205872093,1285
"52","B1C",45.9555439507576,-59.9763473106061,1884
"53","B1E",46.1844753974359,-60.0152761153846,1708
"54","B1G",46.2102527169811,-60.019042163522,1991
"55","B1H",46.2431862593023,-60.0904247069767,10004
"56","B1J",45.9421999634703,-60.482022716895,1031
"57","B1K",45.9620728732673,-60.1589162772277,3138
"58","B1L",46.0756593934426,-60.2654564426229,4992
"59","B1M",46.0967094137931,-60.123801862069,1380
"60","B1N",46.1634589313501,-60.1819613569794,5893
"61","B1P",46.1361769045534,-60.1790198169877,14453
"62","B1R",46.1271354758364,-60.2272441412639,4348
"63","B1S",46.1145675184502,-60.2053763302583,8785
"64","B1T",45.9784086890756,-60.6830333109244,368
"65","B1V",46.2398724254386,-60.2286876995614,6428
"66","B1W",45.9520678518519,-60.6143554814815,3252
"67","B1X",46.224680106383,-60.4656065478723,849
"68","B1Y",46.2383104870849,-60.3189828856089,6199
"69","B2A",46.1832360558659,-60.2840142178771,8292
"70","B2C",45.9568589642857,-60.9012214464286,300
"71","B2E",45.720486054054,-60.7129647297297,36
"72","B2G",45.6200005820896,-62.0084814154229,14492
"73","B2H",45.5877119331919,-62.6461957359491,15351
"74","B2J",45.5859923548387,-60.8224479193548,95
"75","B2N",45.3594773235548,-63.2777601647972,20134
"76","B2R",44.7659747166667,-63.5792093722222,2448
"77","B2S",45.0094425525727,-63.5152905771812,7374
"78","B2T",44.8583548375,-63.5925434083333,16194
"79","B2V",44.6619522578797,-63.4907268997135,12589
"80","B2W",44.6788512858537,-63.5119767219512,31812
"81","B2X",44.6981187246094,-63.5422835878906,11891
"82","B2Y",44.66910867,-63.55385586,14648
"83","B2Z",44.6966435507246,-63.4778513768116,8464
"84","B3A",44.6787487370572,-63.5784505095368,19745
"85","B3B",44.7045936954887,-63.5922975864662,1175
"86","B3E",44.732914991453,-63.3487970854701,6891
"87","B3G",44.6165309375,-63.4728399147727,10763
"88","B3H",44.6387766779911,-63.5889673530281,18874
"89","B3J",44.6475945307692,-63.5859900480769,5455
"90","B3K",44.6584282928118,-63.6058079936575,20894
"91","B3L",44.6491122638298,-63.6135667758865,17431
"92","B3M",44.6724182411924,-63.6564171910569,29133
"93","B3N",44.6454128577586,-63.6286471034483,12936
"94","B3P",44.6231055751445,-63.6084889075145,8624
"95","B3R",44.6012770035336,-63.6097827561837,8003
"96","B3S",44.6562477361963,-63.6664682515337,10741
"97","B3T",44.5936681838235,-63.7302075220588,16452
"98","B3V",44.5319181459854,-63.5944252481752,5945
"99","B3Z",44.6460041310345,-63.8836272372414,16170
"100","B4A",44.7257006225266,-63.6688009452055,17508
"101","B4B",44.734509626506,-63.7482404216867,10232
"102","B4C",44.7696387190636,-63.6750622040134,18922
"103","B4E",44.78802664375,-63.7060505333333,16974
"104","B4G",44.8351588695652,-63.6809192318841,4817
"105","B4H",45.8293188539638,-64.2057518776078,13971
"106","B4N",45.0746180984579,-64.4798008185053,17608
"107","B4P",45.0854552302839,-64.3562493690852,7866
"108","B4R",45.0630066333333,-64.5824036333333,2994
"109","B4V",44.3761201312619,-64.5544489264426,19714
"110","B5A",43.8408579005682,-66.1134998607955,12688
"111","B6L",45.3669195378531,-63.2732488045198,12840
"112","B9A",45.6359484019802,-61.3722529029703,4734
"113","C0A",46.2866280869565,-62.9534525217391,43792
"114","C0B",46.5579608571429,-63.91286275,29418
"115","C1A",46.2471243238994,-63.1277583069182,29357
"116","C1B",46.2176814752475,-63.0912795272277,8533
"117","C1C",46.2758281454545,-63.1065896606061,2630
"118","C1E",46.2760507621777,-63.1645666733524,10122
"119","C1N",46.4027771149212,-63.7852045532901,16352
"120","E1A",46.0987868118622,-64.7396239668367,40191
"121","E1B",46.0594031572193,-64.7980991368984,19149
"122","E1C",46.0982716160188,-64.8014073015312,24231
"123","E1E",46.0794708184358,-64.8195140865922,10442
"124","E1G",46.1215864383708,-64.8872669185423,20134
"125","E1H",46.1536822011952,-64.7450310717131,7320
"126","E1J",46.0177598679245,-64.8132454264151,3377
"127","E1N",47.0188801678049,-65.4435536643903,11733
"128","E1V",47.0134730747967,-65.5519168268293,13573
"129","E1W",47.764276029703,-64.9424442029703,6936
"130","E1X",47.4901670989957,-64.9522829942611,14015
"131","E2A",47.5924090230833,-65.6683433899423,17714
"132","E2E",45.4099192883895,-65.9810617166042,19437
"133","E2G",45.4431787352941,-65.9323423431373,4978
"134","E2H",45.3439624793388,-66.0162897823691,4819
"135","E2J",45.2940234440204,-66.0111676857506,16506
"136","E2K",45.2882301181287,-66.0815284128655,17722
"137","E2L",45.2740779234694,-66.0603532576531,8092
"138","E2M",45.2566987578616,-66.1115834654088,19537
"139","E2N",45.3246628255319,-65.937357587234,4358
"140","E2P",45.2597156746988,-65.9837778313253,1454
"141","E2R",45.2752858333333,-66.0087536666667,10
"142","E2S",45.3597763459716,-65.8407575853081,6908
"143","E2V",45.8360431269394,-66.4697654978843,14709
"144","E3A",45.9796228244621,-66.6253816228766,27273
"145","E3B",45.9235429456716,-66.6406007892537,35535
"146","E3C",45.9042106865672,-66.7071112746269,10933
"147","E3E",45.9087586583072,-66.8216254263323,4394
"148","E3G",46.0091331504065,-66.7020428943089,8120
"149","E3L",45.2275811255708,-67.2738875547945,9325
"150","E3N",47.9781596316852,-66.7106181049445,14319
"151","E3V",47.3680966064516,-68.3353138309677,11818
"152","E3Y",47.0626667166065,-67.711988898917,7747
"153","E3Z",47.0142573701923,-67.7468345408654,4272
"154","E4A",46.130500691358,-65.8596944300412,3079
"155","E4B",46.0408892641509,-66.0869350017153,4475
"156","E4C",45.8795849579832,-65.9467498109244,2349
"157","E4E",45.6958633447905,-65.4788323759398,9113
"158","E4G",45.8018400434783,-65.4622483759591,2724
"159","E4H",45.803626402507,-64.7372315626741,4206
"160","E4J",46.0131815569358,-65.0443456542443,4876
"161","E4K",45.9596522540835,-64.5610391125227,6476
"162","E4L",45.9131605961821,-64.3551293069016,7367
"163","E4M",46.1048363472727,-63.9821926927273,1872
"164","E4N",46.2141495503876,-64.3208049224806,3715
"165","E4P",46.2172350963455,-64.4815305249169,13749
"166","E4R",46.3218264675468,-64.5893971650165,6253
"167","E4S",46.4699022787879,-64.7625992157576,7056
"168","E4T",46.4312713534073,-65.1039249270998,2233
"169","E4V",46.3527337924107,-64.7474837767857,4455
"170","E4W",46.6473597098976,-64.8913603617747,8129
"171","E4X",46.74157165,-65.0408312285714,3050
"172","E4Y",46.7329853940217,-65.377940763587,3173
"173","E4Z",45.935489123494,-65.2027930150602,5771
"174","E5A",45.332403566416,-67.1773254761905,1761
"175","E5B",45.1142474158965,-67.0305871146026,3110
"176","E5C",45.1222172321083,-66.8386440889749,4296
"177","E5E",44.8905589456522,-66.9114228478261,925
"178","E5G",44.7042735607477,-66.773048152648,2539
"179","E5H",45.0934728494624,-66.7331521792115,2965
"180","E5J",45.1489133714286,-66.430831431746,2016
"181","E5K",45.3581247872928,-66.2273676298342,7356
"182","E5L",45.6088706666667,-66.6142317657658,3063
"183","E5M",45.6654292363112,-66.1525499308357,2085
"184","E5N",45.5141472916667,-65.8303390842014,11577
"185","E5P",45.7693747369792,-65.648692453125,2642
"186","E5R",45.3567873443396,-65.5917238207547,1504
"187","E5S",45.4000421795775,-66.1007247570423,1838
"188","E5T",45.6509072456964,-65.8757534788732,3171
"189","E5V",45.0339282550336,-66.9622480805369,731
"190","E6A",46.4703123582888,-66.4705982085562,1297
"191","E6B",46.2766187992126,-66.7664267677165,1679
"192","E6C",46.1790310553191,-66.5860278893617,2309
"193","E6E",46.1076345,-67.159125,1509
"194","E6G",45.9945358741722,-67.2520694139073,2714
"195","E6H",45.8613525426621,-67.5572006006826,1338
"196","E6J",45.5916917040816,-67.305866244898,1321
"197","E6K",45.7430459089286,-67.0166684732143,3673
"198","E6L",46.0382013722222,-66.9290123777778,4720
